P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08990168A0688|77|0 1|80
P08993836A0699|66|0 1|79
P08994825A0000|77|0 1|83
P08994832A0782|19|0 1|23
P08995410A1109|59|0 1|71
P08995054A0618|70|0 1|77
P08995410A0000|92|0 1|95
P08995410A0000|28|0 1|31
P08994825A0000|85|0 1|91
P08993393T0000|24|0 1|42
P08992115A0199|96|0 1|98
P08990168A0688|45|0 1|48
P08990168A0688|8|0 1|14
P08986770A0268|37|0 1|42
P08986770A0268|31|0 1|35
P08986190A0927|80|0 1|82
P08981371A2049b|64|0 1|68
P08978817A0620|84|0 1|89
P08978817A0620|46|0 1|51
P08978690A0262|20|0 1|23
P08977235A0134|60|0 1|70
P08977235A0588|85|0 1|89
P08977235A0588|93|0 1|97
P08977235A0134|77|0 1|80
P08975713A0454|68|0 1|72
P08973917T0000|80|0 1|83
P08973917T0000|48|0 1|78
P08973630A0923|79|0 1|83
P08973630A0923|48|0 1|50
P08973527A0000|32|0 1|42
P08972232A0365|81|0 1|85
P08972232A0365|30|0 1|34
P08971721A1314|58|0 1|61
P08972182A0527|28|0 1|61
P08970984A0765|81|0 1|88
P08970984A0765|90|0 1|92
P08970984A0765|77|0 1|79
P08970984A0765|3|0 1|14
P08960827A1169|83|0 1|98
P08970951A0823|41|0 1|58
P08962614A0000|34|0 1|36
P08962614A0000|18|0 1|32
P08958137A0534|35|0 1|37
P08955402A0288|70|0 1|73
P08955189A1198|10|0 1|13
P08955189A1198|15|0 1|19
P08955136A0606|52|0 1|56
P08955136A0606|32|0 1|42
P08947028A0992|77|0 1|81
P08947028A0992|85|0 1|89
P08948440A0628|41|0 1|43
P08951815A0465|48|0 1|58
P08951815A0465|19|0 1|22
P08946166A0568|44|0 1|51
P08945479T0000|30|0 1|50
P08943354A0295|30|0 1|34
P08943032A0000|32|0 1|35
P08940134A0705|87|0 1|89
P08938420A0862|21|0 1|24
P08940132A1120|24|0 1|29
P08940132A1120|78|0 1|80
P08939966A0816|68|0 1|72
P08937981A0840|37|0 1|47
P08937989A1365|61|0 1|65
P08932385T0000|66|0 1|71
P08932363A0807|73|0 1|75
P08931991A1026|41|0 1|70
P08931991A1026|34|0 1|36
P08925545T0001|0|0 1|24
P08922391A0304|75|0 1|80
P08922390A0793|54|0 1|61
P08922390A0361|25|0 1|32
P08922384A0466|84|0 1|86
P08922344A1539|54|0 1|68
P08921387A1182|82|0 1|85
P08919907A0763|49|0 1|52
P08918934A0424|49|0 1|51
P08918885A1087|71|0 1|75
P08918885A1087|11|0 1|14
P08918810A0967|54|0 1|57
P08918464A0225|82|0 1|84
P08918464A0225|78|0 1|80
P08918464A0225|38|0 1|40
P08917435A0481|17|0 1|21
P08917435A0481|72|0 1|80
P08917449A0000|26|0 1|28
P08917449A0000|33|0 1|44
P08917449A0000|0|0 1|24
P08916960A1331|55|0 1|72
P08916928A0950|51|0 1|57
P08898893A0202|3|0 1|11
P08909546A0810|15|0 1|18
P08910292T0000|47|0 1|51
P08910373A0315|32|0 1|38
P08910373A0315|48|0 1|50
P08910550A0501|41|0 1|43
P08910567A2269|47|0 1|57
P08914522A0118|3|0 1|11
P08910373A0315|54|0 1|69
P08910373A0315|45|0 1|46
P08910292T0000|57|0 1|77
P08910292T0000|16|0 1|43
P08900190A0430|93|0 1|97
P08902214A1486|43|0 1|54
P08900190A0430|86|0 1|90
P08898893A0202|26|0 1|44
P08896280A0860|51|0 1|58
P08895579A0583|92|0 1|95
P08895579A0583|26|0 1|29
P08895522T0000|24|0 1|43
P08892757T0000|18|0 1|22
P08892757T0000|39|0 1|47
P08892755A0981|41|0 1|72
P08892755A0981|74|0 1|76
P08892755A0186|96|0 1|98
P08887643A1167|58|0 1|61
P08891345A0684|34|0 1|57
P08887674A0920|38|0 1|61
P08887674A0630|14|0 1|37
P08887661A1061|27|0 1|31
P08887661A0138|42|0 1|46
P08887652A0341|67|0 1|97
P08887643A1167|75|0 1|78
P08887643A1167|52|0 1|54
P08876701A0177|26|0 1|37
P08886845A1274|28|0 1|43
P08882710A0000|0|0 1|30
P08882710A0000|32|0 1|36
P08882492A0000|3|0 1|30
P08881036A0351|39|0 1|41
P08876701A0177|39|0 1|42
P08877818A0184|59|0 1|79
P08876167A0717|10|0 1|12
P08876167A0717|32|0 1|41
P08876167A0717|83|0 1|85
P08876167A0717|89|0 1|91
P08876167A0717|79|0 1|81
P08873063A0875|53|0 1|58
P08873063A0493|29|0 1|34
P08872162A0884|58|0 1|60
P08869825A0000|66|0 1|68
P08869825A0000|34|0 1|64
P08864061A0000|12|0 1|30
P08862522A0690|32|0 1|36
P08853893A0158|36|0 1|47
P08856077T0000|26|0 1|56
P08849778A0598|62|0 1|64
P08849778A0226|36|0 1|43
P08845378A0368|66|0 1|79
P08848052A0733|27|0 1|30
P08846775A0110|21|0 1|24
P08846775A0110|14|0 1|17
P08843412A0543|60|0 1|62
P08843412A0543|54|0 1|57
P08842143A0000|55|0 1|57
P08840501A0345|78|0 1|81
P08839832A1220|32|0 1|43
P08838805T0000|46|0 1|51
P08838585A0968|75|0 1|77
P08838585A0968|71|0 1|73
P08838314A0129|50|0 1|53
P08836740A1025|7|0 1|10
P08836032T0000|51|0 1|53
P08836172A1382|74|0 1|82
P08833153A0628|27|0 1|44
P08825636T0000|79|0 1|89
P08825636T0000|72|0 1|75
P08825554A0000|0|0 1|14
P08825087A0213|28|0 1|32
P08824881A0133|48|0 1|54
P08824585A0260|69|0 1|72
P08824798A0761|10|0 1|13
P08824798A0761|27|0 1|29
P08820648A0123|60|0 1|78
P08817323A0714|58|0 1|69
P08816792A0000|27|0 1|32
P08816759A0000|86|0 1|88
P08816759A0000|65|0 1|84
P08816498A0000|51|0 1|54
P08816507A1125|26|0 1|28
P08816504T0000|50|0 1|77
P08816483A0869|34|0 1|37
P08816483A0869|21|0 1|24
P08816482A0234|33|0 1|38
P08816472T0000|43|0 1|46
P08816460A1769|77|0 1|79
P08812490A1509|82|0 1|84
P08816438A0316|40|0 1|47
P08816452A0936|51|0 1|53
P08816452A0936|74|0 1|82
P08816443A1674|21|0 1|28
P08813900A1088|6|0 1|12
P08812490A1509|77|0 1|80
P08812490A0000|25|0 1|28
P08810278A0682|94|0 1|97
P08810278A0682|73|0 1|75
P08810278A0682|55|0 1|57
P08808939A0000|31|0 1|57
P08808927A0417|7|0 1|13
P08808707A0631|68|0 1|70
P08806693A0584|37|0 1|50
P08806693A0584|79|0 1|94
P08806491A0542|28|0 1|35
P08805338A1061|53|0 1|78
P08804389A0893|29|0 1|32
P08798893A0611|35|0 1|51
P08798643T0000|70|0 1|72
P08798635A0870|79|0 1|82
P08798635A0870|66|0 1|69
P08798512A1197|53|0 1|61
P08746605A0377|22|0 1|24
P08763953A0805|14|0 1|17
P08763953A0805|27|0 1|30
P08763953A0805|58|0 1|61
P08795304T0000|6|0 1|19
P08794869A0274|46|0 1|53
P08771787T0000|18|0 1|20
P08794363A0259|38|0 1|40
P08794348A1067|51|0 1|53
P08776901A0000|19|0 1|21
P08790291A1022|38|0 1|41
P08794326A0405|23|0 1|43
P08794339A1162|61|0 1|69
P08794339A1162|44|0 1|58
P08794326A0405|59|0 1|60
P08794326A0405|55|0 1|57
P08792217A1407|31|0 1|50
P08784787A0383|28|0 1|31
P08781119A0723|24|0 1|41
P08774732A0271|26|0 1|30
P08776735A0000|74|0 1|77
P08776735A0000|49|0 1|72
P08774732A0271|19|0 1|24
P08770021T0000|9|0 1|13
P08770981A0328|22|0 1|40
P08770981A0328|42|0 1|44
P08770896A1121|30|0 1|35
P08770920A1220|80|0 1|98
P08770021T0000|50|0 1|56
P08770021T0000|27|0 1|48
P08769568A0949|53|0 1|68
P08766781A0322|71|0 1|72
P08769566A0000|64|0 1|68
P08768377A1387|10|0 1|20
P08769132A0000|3|0 1|23
P08768377A1387|64|0 1|79
P08763953A0805|66|0 1|69
P08763953A0805|53|0 1|56
P08763953A0805|19|0 1|22
P08763925A0588|49|0 1|54
P08750702A0183|45|0 1|71
P08754840A0793|9|0 1|22
P08756636T0000|26|0 1|42
P08760889A0170|76|0 1|79
P08761480A0331|75|0 1|79
P08761480A0331|63|0 1|68
P08760889A0531|74|0 1|77
P08760872A0696|32|0 1|34
P08756636T0000|71|0 1|82
P08757943A0876|50|0 1|72
P08760286A0696|41|0 1|72
P08760286A0696|30|0 1|32
P08756712A0227|67|0 1|71
P08756597A0854|62|0 1|65
P08756332A0000|12|0 1|23
P08754840A0793|84|0 1|98
P08754840A0793|50|0 1|54
P08754777A1214|41|0 1|43
P08749393A0783|3|0 1|14
P08749394A0874|82|0 1|91
P08749394A0874|46|0 1|70
P08749393A0783|81|0 1|91
P08749393A0783|77|0 1|80
P08748033A0874|59|0 1|62
P08742135A0000|31|0 1|34
P08733881A0343|76|0 1|78
P08732665A0000|35|0 1|46
P08731511A0625|72|0 1|75
P08731511A0625|29|0 1|43
P08728040T0000|27|0 1|61
P08728040T0000|75|0 1|85
P08728040T0000|87|0 1|90
P08728040T0000|63|0 1|71
P08723352A0084|72|0 1|75
P08723352A0084|37|0 1|70
P08703908A1814|39|0 1|42
P08710504A0995|49|0 1|58
P08717559A0223|19|0 1|24
P08710504A0995|20|0 1|24
P08710377A0577|45|0 1|48
P08710377A0577|33|0 1|42
P08709224T0000|33|0 1|37
P08709637A1471|88|0 1|92
P08709637A1471|29|0 1|44
P08709224T0000|70|0 1|72
P08709224T0000|87|0 1|90
P08709224T0000|81|0 1|85
P08709224T0000|66|0 1|68
P08707840A0753|45|0 1|47
P08707840A0753|55|0 1|57
P08707840A0753|49|0 1|51
P08704240A1111|49|0 1|52
P08706662A1125|35|0 1|42
P08704124A0420|45|0 1|64
P08703005A0645|90|0 1|92
P08702936A0168|71|0 1|88
P08702826A0870|34|0 1|53
P08702728A1325|40|0 1|53
P08702756A0000|73|0 1|78
P08702728A1325|26|0 1|37
P08702644A0499|40|0 1|45
P08702644A0499|35|0 1|38
P08702556A0000|74|0 1|76
P08702633A0164|20|0 1|29
P08702556A0000|40|0 1|72
P08692924A0328|46|0 1|61
P08692885A0663|12|0 1|14
P08683106A0374|46|0 1|50
P08683106A0374|78|0 1|82
P08684522A0415|84|0 1|97
P08683983A1163|74|0 1|82
P08683108A1501|95|0 1|97
P08683108A0965|33|0 1|47
P08683106A0374|89|0 1|97
P08683106A0374|33|0 1|42
P08683106A0374|8|0 1|11
P08682868A0738|58|0 1|77
P08682868A0738|11|0 1|24
P08676858A0309|36|0 1|47
P08676456A0879|72|0 1|75
P08676454A0731|39|0 1|46
P08676454A0731|18|0 1|20
P08668190A1364|87|0 1|91
P08668142A1048|17|0 1|21
P08668158A0765|77|0 1|83
P08668142A1048|90|0 1|94
P08668124A0744|78|0 1|81
P08668124A0744|3|0 1|11
P08666398T0000|30|0 1|42
P08666241A0930|45|0 1|56
P08663127A0697|20|0 1|23
P08663310A0157|8|0 1|10
P08663219A0246|37|0 1|85
P08663127A0697|53|0 1|56
P08662852A1297|21|0 1|24
P08662928A1153|65|0 1|76
P08662936A0428|23|0 1|44
P08662928T0000|33|0 1|50
P08662852A1297|85|0 1|91
P08662852A1297|28|0 1|51
P08662789A0673|83|0 1|88
P08662617A2051|34|0 1|36
P08661119A0085|17|0 1|44
P08661114A0564|71|0 1|73
P08661101A0396|70|0 1|76
P08660998A0851|60|0 1|71
P08657157A0000|37|0 1|61
P08657150A1049|33|0 1|36
P08654983A0000|40|0 1|42
P08654435A0540|61|0 1|64
P08654435A0540|50|0 1|52
P08654375A0544|88|0 1|91
P08649424A0000|15|0 1|42
P08649427A0689|62|0 1|85
P08649428A1227|65|0 1|84
P08649427A0689|87|0 1|89
P08649405T0000|83|0 1|85
P08649393A0000|1|0 1|30
P08649389A0692|23|0 1|48
P08649386A1032|82|0 1|96
P08649372A0755|82|0 1|85
P08649372A0755|20|0 1|23
P08647822T0000|14|0 1|50
P08647802A0000|93|0 1|95
P08647434A1124|78|0 1|80
P08647451A0663|41|0 1|43
P08647434A1124|82|0 1|92
P08647086T0000|25|0 1|28
P08647264T0000|10|0 1|13
P08647091A0592|40|0 1|48
P08647086T0000|87|0 1|94
P08647086T0000|69|0 1|72
P08643682A0268|51|0 1|57
P08645214A1052|72|0 1|79
P08647086A0720|79|0 1|81
P08644734A0404|69|0 1|71
P08643646A0479|18|0 1|21
P08643633A1187|40|0 1|50
P08634697A1155|78|0 1|82
P08643578A0532|28|0 1|32
P08643557A0259|27|0 1|37
P08643513A0361|30|0 1|61
P08643513A0361|18|0 1|28
P08643111A0855|16|0 1|19
P08643111A0855|3|0 1|14
P08642313T0000|76|0 1|82
P08636124A0410|72|0 1|96
P08642313A0770|41|0 1|46
P08637006A0000|17|0 1|42
P08642285A1548|34|0 1|36
P08639561T0000|14|0 1|38
P08639837A0268|83|0 1|91
P08640866A0473|67|0 1|94
P08640866A0473|50|0 1|52
P08637711A1121|32|0 1|46
P08637717A1231|50|0 1|53
P08637717A0817|46|0 1|48
P08637711A1121|91|0 1|92
P08637711A1121|94|0 1|98
P08637711A1121|77|0 1|89
P08637711A1121|27|0 1|30
P08636428A1363|36|0 1|43
P08636149A0220|56|0 1|62
P08636124A0410|46|0 1|52
P08634420A1784|18|0 1|20
P08632009A1067|24|0 1|41
P08631958T0000|0|0 1|44
P08631822A0677|29|0 1|32
P08631934A0000|15|0 1|45
P08631820A0755|25|0 1|32
P08631760A0609|30|0 1|38
P08631760A0609|41|0 1|43
P08631685A0000|69|0 1|72
P08631667A0851|31|0 1|43
P08628681A0821|73|0 1|75
P08626325A0543|57|0 1|61
P08628284A0181|74|0 1|85
P08628284A0181|46|0 1|53
P08628255A0932|36|0 1|45
P08626325A0543|95|0 1|98
P08626437A0332|73|0 1|96
P08627667A0132|41|0 1|45
P08626493A1468|72|0 1|96
P08626809A0729|14|0 1|17
P08626493A1468|38|0 1|40
P08626596A0000|62|0 1|65
P08626777A0537|28|0 1|41
P08626698A0989|45|0 1|51
P08626698A0989|27|0 1|30
P08626610A0931|38|0 1|44
P08626529A0799|59|0 1|62
P08626325A0543|50|0 1|53
P08626313A1037|12|0 1|14
P08626065A0000|80|0 1|83
P08622698T0000|33|0 1|36
P08625900T0000|9|0 1|46
P08625900T0000|56|0 1|72
P08625806A0263|9|0 1|22
P08622893A0000|56|0 1|58
P08624445A0257|84|0 1|94
P08622893A0000|43|0 1|46
P08622887A1026|54|0 1|91
P08622698T0000|38|0 1|42
P08622698T0000|9|0 1|23
P08622668A1155|54|0 1|58
P08622645A1026|15|0 1|17
P08621730T0000|73|0 1|78
P08621730T0000|2|0 1|20
P08621719A0568|91|0 1|94
P08621664A1430|75|0 1|95
P08621542A0535|54|0 1|83
P08621542A0535|48|0 1|51
P08621453A0815|81|0 1|83
P08621420A1166|69|0 1|71
P08621384A0935|41|0 1|69
P08621384A0935|71|0 1|74
P08620889A0771|38|0 1|54
P08621017A1186|24|0 1|34
P08619866A0000|10|0 1|36
P08619866A0000|38|0 1|40
P08618882A0343|10|0 1|24
P08618433A0000|76|0 1|97
P08618433A0000|71|0 1|74
P08618433A0000|8|0 1|42
P08617802A0993|45|0 1|47
P08617800A0675|67|0 1|69
P08617238A0334|30|0 1|41
P08617216A0584|12|0 1|23
P08563483A0094|79|0 1|81
P08576179A0126|9|0 1|11
P08592590A0822|83|0 1|92
P08603921A1346|16|0 1|22
P08614403A0989|29|0 1|31
P08615025A1214|26|0 1|28
P08612852A0553|13|0 1|23
P08603921A1346|44|0 1|53
P08608222T0000|37|0 1|84
P08604338A0885|33|0 1|37
P08604338A0885|79|0 1|81
P08604338A0885|29|0 1|31
P08604338A0198|16|0 1|28
P08595878A0201|42|0 1|45
P08601806A0875|20|0 1|24
P08599946A0999|86|0 1|95
P08599946A0999|39|0 1|48
P08597596A0135|16|0 1|34
P08598449A0784|42|0 1|43
P08598449A0784|69|0 1|72
P08595878A0201|76|0 1|84
P08595878A0201|67|0 1|70
P08582633T0000|78|0 1|85
P08583783A0870|80|0 1|82
P08589735A0577|18|0 1|20
P08583846A0807|22|0 1|38
P08585994A0567|53|0 1|72
P08585324A0823|38|0 1|54
P08585324A0467|28|0 1|35
P08583846A0121|32|0 1|48
P08583783A0870|8|0 1|10
P08580083A0259|38|0 1|40
P08581174A0472|43|0 1|53
P08580083A0259|87|0 1|89
P08576262A0160|3|0 1|14
P08576262A0160|70|0 1|92
P08576179A0126|48|0 1|97
P08576131A0685|35|0 1|45
P08566756A0752|57|0 1|60
P08576131A0151|58|0 1|69
P08576042A0765|44|0 1|47
P08576042A0765|68|0 1|72
P08575754T0000|75|0 1|79
P08575754T0000|68|0 1|73
P08570615T0000|12|0 1|13
P08567556A0000|24|0 1|32
P08566773A1023|60|0 1|75
P08565548A0196|77|0 1|92
P08565548A0196|94|0 1|96
P08566751A0788|18|0 1|24
P08566747A0756|79|0 1|81
P08564488A1359|4|0 1|13
P08563483A0094|29|0 1|54
P08561893A0100|38|0 1|48
P08561897A0604|76|0 1|78
P08561897A0604|69|0 1|71
P08552082A0480|59|0 1|68
P08556707A1390|74|0 1|84
P08554540A1480|26|0 1|52
P08552670A0665|40|0 1|46
P08552095A0758|68|0 1|77
P08552096A0151|62|0 1|65
P08552095A0686|43|0 1|47
P08552093A0657|86|0 1|91
P08550425A1401|49|0 1|51
P08551572A0155|74|0 1|77
P08551572A0155|81|0 1|89
P08550460A0374|40|0 1|43
P08550470A1021|65|0 1|68
P08550476A0610|26|0 1|29
P08550470A1021|9|0 1|12
P08550467A0863|28|0 1|31
P08548291A1059|28|0 1|32
P08548291A1059|81|0 1|85
P08546707T0000|86|0 1|97
P08544820T0000|20|0 1|22
P08542027A1471|88|0 1|91
P08538382A1012|18|0 1|20
P08538052A0000|61|0 1|78
P08537403A0336|25|0 1|29
P08534855A0000|3|0 1|21
P08533472A0777|29|0 1|37
P08533472A0777|41|0 1|45
P08532536A0925|81|0 1|85
P08532536A0925|43|0 1|50
P08530384A0559|68|0 1|78
P08530107A1003|81|0 1|89
P08530345A0880|90|0 1|91
P08529662A0507|48|0 1|52
P08526620A1344|42|0 1|64
P08529630A0840|26|0 1|37
P08529098A0549|88|0 1|91
P08529098A0549|81|0 1|84
P08524292A1022|44|0 1|46
P08524292A1022|93|0 1|95
P08524284A0309|62|0 1|69
P08524284A0309|51|0 1|58
P08524272T0000|78|0 1|80
P08524272T0000|58|0 1|60
P08524229T0000|16|0 1|75
P08524241A0212|26|0 1|30
P08524241A0212|59|0 1|62
P08524235A0695|32|0 1|35
P08524229T0000|77|0 1|80
P08524036A0747|65|0 1|71
P08510924A0490|54|0 1|71
P08522511A1578|33|0 1|36
P08522511A1578|26|0 1|29
P08522511A1250|8|0 1|10
P08522175A0306|19|0 1|28
P08521717A0126|2|0 1|17
P08521717A0126|27|0 1|29
P08521414A1384|73|0 1|80
P08514766A0732|68|0 1|91
P08510647A1347|7|0 1|10
P08508778A0112|57|0 1|72
P08508778A0112|30|0 1|37
P08508774A0242|22|0 1|24
P08506384A0146|65|0 1|70
P08506384A0146|34|0 1|43
P08506317A0000|12|0 1|22
P08504933A0000|23|0 1|37
P08501030A0456|25|0 1|38
P08497280T0000|47|0 1|50
P08497280A1397|86|0 1|89
P08497280A0266|20|0 1|23
P08497248A0000|65|0 1|69
P08496601A1153|42|0 1|53
P08496601A1153|28|0 1|38
P08496185A0484|78|0 1|81
P08496157A0000|3|0 1|11
P08486705A0181|39|0 1|42
P08485317A0000|62|0 1|72
P08483479A1056|37|0 1|52
P08483479A1056|17|0 1|19
P08483412A0000|70|0 1|95
P08482539A0913|51|0 1|54
P08474464A0348|42|0 1|44
P08474464A0348|58|0 1|71
P08473731A0149|92|0 1|96
P08474464A0348|35|0 1|36
P08473731A0149|21|0 1|28
P08471629A0816|49|0 1|71
P08464056A0000|39|0 1|46
P08468475A1280|70|0 1|84
P08464924A0243|19|0 1|23
P08464056A0510|42|0 1|44
P08464056A0000|0|0 1|37
P08458849A0364|25|0 1|28
P08458849A0364|58|0 1|72
P08429568A0000|77|0 1|79
P08453101A0128|16|0 1|18
P08455623A0630|30|0 1|40
P08455611A0154|40|0 1|44
P08453101A0128|0|0 1|14
P08454591A1322|40|0 1|42
P08454591A1322|34|0 1|37
P08440720A1404|23|0 1|42
P08441379A0912|82|0 1|92
P08444345A0403|62|0 1|65
P08444345A0403|94|0 1|97
P08444345A0403|89|0 1|92
P08444345A0403|16|0 1|21
P08441423A0145|40|0 1|48
P08443341A0384|63|0 1|71
P08442384T0000|3|0 1|23
P08443339A1374|27|0 1|29
P08443122A0657|32|0 1|40
P08441423A0145|94|0 1|97
P08441423A0145|33|0 1|36
P08441394A1297|88|0 1|91
P08441394A1297|80|0 1|84
P08441379A0912|16|0 1|48
P08440688A1509|31|0 1|42
P08440238T0000|24|0 1|46
P08439564A0883|31|0 1|34
P08438584A0524|94|0 1|98
P08438584T0000|16|0 1|34
P08438584A0524|50|0 1|51
P08430095A0161|88|0 1|92
P08437521A0000|91|0 1|98
P08432137A0000|23|0 1|47
P08432696A1117|13|0 1|20
P08432137A0000|82|0 1|85
P08432137A0000|87|0 1|94
P08432137A0000|49|0 1|52
P08430095A0913|18|0 1|22
P08430095A0161|61|0 1|64
P08428965A1868|34|0 1|35
P08429019A2022|35|0 1|54
P08428965A1868|30|0 1|32
P08428953A1718|61|0 1|78
P08428952A1957|29|0 1|35
P08428940A1763|86|0 1|89
P08428907A0653|26|0 1|38
P08428750T0000|40|0 1|61
P08427501A0221|49|0 1|69
P08425221A0000|48|0 1|50
P08425050A0898|81|0 1|89
P08421910A0599|68|0 1|70
P08420571A1880|14|0 1|18
P08420571A1880|22|0 1|24
P08416977A0892|5|0 1|14
P08417331A0745|81|0 1|92
P08417331A0745|16|0 1|23
P08416977A0892|34|0 1|38
P08416977A0892|26|0 1|30
P08416952A0956|92|0 1|96
P08415643A0555|50|0 1|53
P08415637A0000|63|0 1|76
P08415637A0000|3|0 1|24
P08413291A1473|33|0 1|35
P08413239A0490|84|0 1|94
P08413223A0847|31|0 1|43
P08413205A0733|44|0 1|61
P08406004A0691|39|0 1|42
P08412665A0000|27|0 1|85
P08408825A0000|72|0 1|73
P08412620A0688|65|0 1|68
P08408825A0000|77|0 1|78
P08406497A0000|19|0 1|22
P08407784A0850|31|0 1|34
P08407784A0850|18|0 1|22
P08406497A0000|9|0 1|17
P08405433A0000|35|0 1|40
P08400240A0166|67|0 1|79
P08400240A0166|85|0 1|91
P08400928A0318|47|0 1|72
P08397123T0000|53|0 1|91
P08396749A1112b|94|0 1|97
P08396120A0690|3|0 1|28
P08396667T0000|10|0 1|23
P08395681A0388|58|0 1|60
P08395681A0388|96|0 1|97
P08395681A0388|64|0 1|77
P08395654T0000|23|0 1|43
P08395014A1364|68|0 1|71
P08395010T0000|52|0 1|72
P08395004A0558|65|0 1|68
P08395004A0141|12|0 1|24
P08394464A1080|93|0 1|95
P08394464A1080|76|0 1|79
P08394019A0695|85|0 1|94
P08394019A0695|63|0 1|65
P08394019A0695|52|0 1|54
P08394019A0695|45|0 1|47
P08393143A1281|3|0 1|11
P08387519A0000|37|0 1|47
P08388543A1263|40|0 1|47
P08387994A0980|66|0 1|68
P08387155A1248|81|0 1|85
P08387155A1248|42|0 1|46
P08383214A0389|19|0 1|20
P08386319A1229|68|0 1|72
P08385337A0282|29|0 1|56
P08386317T0000|72|0 1|75
P08386317T0000|88|0 1|91
P08385581A0126|60|0 1|65
P08386280T0000|35|0 1|68
P08386279A1621|28|0 1|32
P08385581A0126|16|0 1|21
P08383214A0389|73|0 1|94
P08383217A0357|40|0 1|44
P08383622T0000|18|0 1|22
P08383622T0000|10|0 1|13
P08383214A0389|40|0 1|42
P08356944A0589|63|0 1|72
P08378082A1031|48|0 1|56
P08382303T0000|3|0 1|22
P08382300A0341|83|0 1|91
P08378082A1031|60|0 1|65
P08367487A1014|37|0 1|47
P08375651T0000|36|0 1|43
P08375651T0000|13|0 1|30
P08360180A1041|30|0 1|34
P08361755A0734|48|0 1|56
P08361755A0734|83|0 1|85
P08357834A0285|51|0 1|64
P08356792A1275|94|0 1|97
P08355697A0000|28|0 1|31
P08350398A1616|41|0 1|45
P08352268A0000|31|0 1|37
P08349632A0679|48|0 1|52
P08349104A0450|57|0 1|64
P08349104A0450|95|0 1|98
P08349104A0000|33|0 1|42
P08345191A1140|68|0 1|72
P08343961A0000|70|0 1|82
P08343216A0883|12|0 1|14
P08337841A0612|35|0 1|42
P08336698T0000|71|0 1|74
P08334158A0660|80|0 1|91
P08331067T0000|31|0 1|54
P08327488A0839|38|0 1|52
P08325504A0226|14|0 1|21
P08325639A0129|65|0 1|85
P08325639A0129|31|0 1|43
P08325504A0226|7|0 1|10
P08317092A0304|59|0 1|71
P08316240A1068|41|0 1|45
P08316209A0000|48|0 1|51
P08309953A0776|27|0 1|42
P08308008A0201|66|0 1|82
P08308008A0201|59|0 1|62
P08300611A0341|29|0 1|46
P08300611T0000|89|0 1|92
P08302589A1132|78|0 1|91
P08300625A1352|26|0 1|29
P08300605A0671|22|0 1|47
P08300601A0745|70|0 1|72
P08300527T0000|47|0 1|80
P08298129A0274|80|0 1|96
P08290278A0374|10|0 1|13
P08290278A0374|35|0 1|37
P08294459A0446|34|0 1|42
P08294429A0153|64|0 1|70
P08294429A0153|28|0 1|51
P08291761A0416|63|0 1|65
P08290278A0374|17|0 1|19
P08289834A0341|68|0 1|92
P08289834A0341|49|0 1|56
P08289831A0290|10|0 1|12
P08289783A0000|39|0 1|69
P08289783A0000|3|0 1|20
P08289341A1202|80|0 1|81
P08289341A1202|36|0 1|37
P08288554A0295|32|0 1|44
P08288622A0725|62|0 1|68
P08288596A0663|60|0 1|62
P08288240A0304|45|0 1|52
P08288240A0304|37|0 1|41
P08280476A0602|67|0 1|70
P08280476A0602|40|0 1|56
P08278548A0597|21|0 1|32
P08276851A0347|12|0 1|24
P08276854A1894|35|0 1|53
P08276234A0119|21|0 1|23
P08270257A0551|70|0 1|78
P08269424A0339|45|0 1|48
P08269424A0339|35|0 1|37
P08265602T0000|79|0 1|97
P08264631A0746|73|0 1|76
P08264631A0746|56|0 1|58
P08264628A0418|90|0 1|94
P08264617A0000|32|0 1|35
P08264591A1190|40|0 1|54
P08263933T0000|19|0 1|34
P08262041A0727|3|0 1|14
P08257754A0711|61|0 1|72
P08259650A0640|66|0 1|68
P08255758A0000|46|0 1|75
P08253958A0000|95|0 1|97
P08253387A1291|35|0 1|44
P08253387A0801|57|0 1|60
P08251622A0000|33|0 1|69
P08248246A0838|29|0 1|31
P08247005A0584|56|0 1|68
P08247005A0584|17|0 1|28
P08246987A0260|76|0 1|78
P08245125A0822|31|0 1|37
P08244034T0000|0|0 1|43
P08230452A1489|11|0 1|24
P08230418A0812|94|0 1|98
P08230452A0551|3|0 1|56
P08226956A1397|68|0 1|75
P08228805A0540|52|0 1|82
P08228805A0540|84|0 1|89
P08228805A0540|26|0 1|28
P08226798A1124|27|0 1|45
P08226777A0936|40|0 1|45
P08226616A0000|57|0 1|72
P08224907A0000|29|0 1|35
P08223875A0711|91|0 1|95
P08223875A0711|75|0 1|79
P08223613A0519|85|0 1|88
P08220494A0231|64|0 1|79
P08223613A0105|19|0 1|22
P08223576A1261|31|0 1|38
P08219081A0000|68|0 1|84
P08218230A1920|82|0 1|90
P08209423T0000|48|0 1|70
P08212571A0597|67|0 1|72
P08212571A0597|18|0 1|20
P08208618A1334|56|0 1|58
P08196607A0280|21|0 1|32
P08196616A1112|79|0 1|84
P08208540A1114|39|0 1|43
P08208247T0030|63|0 1|91
P08196616A1112|85|0 1|94
P08200528A0970|33|0 1|44
P08199204A0746|46|0 1|48
P08196624A0593|37|0 1|44
P08196616A1112|30|0 1|35
